run,depth,thymidine,leucine,pp,abund,chl,doc,doy
EB9394L1,4,0.01,NA,2.41,NA,2.832,0.12,300
EB9394L1,5,0.0133952262114149,NA,1.69972608231075,NA,2.35401924263476,0.174779812501255,300
EB9394L1,6,0.0148305545341315,NA,1.82,NA,2.096272126396,0.169656361594064,300
EB9394L1,7,0.014752517616765,NA,2.21603320595352,NA,1.9307861646267,0.137099661254375,300
EB9394L1,8,0.0136076481079308,NA,2.39,NA,1.72959009198402,0.109579504329261,300
EB9394L1,9,0.0118424786562442,NA,1.9270727242283,NA,1.42168939360486,0.109249579428921,300
EB9394L1,10,0.00990354191032041,NA,1.13,NA,1.14528793718123,0.120386419847391,300
EB9394L1,11,0.00823737051877483,NA,0.752768308853799,NA,1.0262067652076,0.128268127801661,300
EB9394L1,12,0.00729049713022277,NA,0.62,NA,0.977835342931414,0.152268787197847,300
EB9394L1,13,0.00750945439327951,NA,0.866890480350732,NA,1.00990141730312,0.17926970173843,300
EB9394L1,14,0.00901005118108426,NA,2.56389519525507,NA,1.37277208730461,0.127111750294818,300
EB9394L1,15,0.0100330526619914,NA,3.87418259521324,NA,1.6201648549377,0.102569783302555,300
EB9394L1,16,0.00860731420298246,NA,3.42184015749994,NA,1.34408149934713,0.210849601702393,300
EB9394L1,17,0.00551061699717702,NA,1.9161539727818,NA,0.778221299421404,0.410465735396841,300
EB9394L1,18,0.00192683808712364,NA,0.21,NA,0.282818086691393,0.631003725380824,300
EB9394L1,19,0.00122232665943285,NA,0,NA,0.0915539525499141,0.826541905743035,300
EB9394L1,20,0.00134864648331345,NA,0.05,NA,0.0621439533437993,1.02391309881235,300
EB9394L1,21,0.00135249105376652,NA,0.358116156447457,NA,0.0420717585048172,1.24262738672293,300
EB9394L1,22,0.00115242000503532,NA,0.03,NA,0.0414150908069689,1.39735560982778,300
EB9394L1,23,0.000814825926081907,NA,NA,NA,0.0891800435097078,1.55822959736379,300
EB9394L1,24,0.000406101405868359,NA,NA,NA,0.183636509313539,1.66916737156988,300
EB9394L1,25,0,NA,NA,NA,0.302608927618994,1.74397426782103,300
EB9394L1,26,0,NA,NA,NA,0.425247994827712,1.79553394487214,300
EB9394L1,27,0,NA,NA,NA,0.537988508365697,1.8316415973512,300
EB9394L1,28,0,NA,NA,NA,0.629716699100329,1.85837991877123,300
EB9394L1,29,0,NA,NA,NA,0.689320645248981,1.8818303121395,300
EB9394L1,30,0.000178,NA,NA,NA,0.705688425029025,1.90807418046329,300
EB9394L1,31,NA,NA,NA,NA,0.671243733604367,1.94173071878723,300
EB9394L1,32,NA,NA,NA,NA,0.595568868981222,1.98032292195012,300
EB9394L1,33,NA,NA,NA,NA,0.493444019590904,2.01922411844302,300
EB9394L1,34,NA,NA,NA,NA,0.379650520377372,2.05380716259932,300
EB9394L1,35,NA,NA,NA,NA,0.268969706284583,2.07944490875238,300
EB9394L1,36,NA,NA,NA,NA,0.176182912256493,2.09151021123561,300
EB9394L1,37,NA,NA,NA,NA,0.116071473237061,2.08537592438236,300
EB9394L1,38,NA,NA,NA,NA,0.103416724170244,2.05641490252603,300
EB9394L1,39,NA,NA,NA,NA,0.153,2,300
EB9394L1,40,NA,NA,NA,NA,NA,NA,300
EB9394L1,41,NA,NA,NA,NA,NA,NA,300
EB9394L1,42,NA,NA,NA,NA,NA,NA,300
EB9394L1,43,NA,NA,NA,NA,NA,NA,300
EB9394L1,44,NA,NA,NA,NA,NA,NA,300
EB9394L1,45,NA,NA,NA,NA,NA,NA,300
EB9394L1,46,NA,NA,NA,NA,NA,NA,300
EB9394L1,47,NA,NA,NA,NA,NA,NA,300
EB9394L1,48,NA,NA,NA,NA,NA,NA,300
EB9394L1,49,NA,NA,NA,NA,NA,NA,300
EB9394L1,50,NA,NA,NA,NA,NA,NA,300
EB9394L1,51,NA,NA,NA,NA,NA,NA,300
EB9394L1,52,NA,NA,NA,NA,NA,NA,300
EB9394L1,53,NA,NA,NA,NA,NA,NA,300
EB9394L1,54,NA,NA,NA,NA,NA,NA,300
EB9394L1,55,NA,NA,NA,NA,NA,NA,300
EB9394L1,56,NA,NA,NA,NA,NA,NA,300
EB9394L1,57,NA,NA,NA,NA,NA,NA,300
EB9394L1,58,NA,NA,NA,NA,NA,NA,300
EB9394L1,59,NA,NA,NA,NA,NA,NA,300
EB9394L1,60,NA,NA,NA,NA,NA,NA,300
EB9394L1,61,NA,NA,NA,NA,NA,NA,300
EB9394L1,62,NA,NA,NA,NA,NA,NA,300
EB9394L1,63,NA,NA,NA,NA,NA,NA,300
EB9394L1,64,NA,NA,NA,NA,NA,NA,300
EB9394L1,65,NA,NA,NA,NA,NA,NA,300
EB9394L1,66,NA,NA,NA,NA,NA,NA,300
EB9394L1,67,NA,NA,NA,NA,NA,NA,300
EB9394L1,68,NA,NA,NA,NA,NA,NA,300
EB9394L1,69,NA,NA,NA,NA,NA,NA,300
EB9394L1,70,NA,NA,NA,NA,NA,NA,300
WB9394L1,4,0.01,NA,2.39,NA,2.438,0.29,302
WB9394L1,5,0,NA,2.56723239281102,NA,2.53983816774151,0.225091193800055,302
WB9394L1,6,0,NA,2.69332459693452,NA,2.27886953130469,0.178586590605648,302
WB9394L1,7,0,NA,2.80458923875568,NA,1.98921371417567,0.164908836932811,302
WB9394L1,8,0,NA,2.89391182834562,NA,1.83510540373981,0.17158951381042,302
WB9394L1,9,0,NA,2.93869169719346,NA,1.94359232137961,0.188611896229586,302
WB9394L1,10,0.00855318282804901,NA,2.68078523692048,NA,1.816791950323,0.199865926094337,302
WB9394L1,11,0.01876856836217,NA,2.15287874205943,NA,1.23954407001929,0.183788424059008,302
WB9394L1,12,0.0239219412008758,NA,2.83077994249507,NA,2.43670784639415,0.140844650582842,302
WB9394L1,13,0.0209947049695166,NA,5.39821148326926,NA,5.31293246120326,0.222260317134362,302
WB9394L1,14,0.010824487312012,NA,4.36669559767999,NA,3.80275212409695,0.816809228893658,302
WB9394L1,15,0.00983242320955445,NA,3.01366947716118,NA,4.49071910674498,0.273349012661783,302
WB9394L1,16,0.00838006228192858,NA,1.6016836558576,NA,2.79575115814677,0.411736631869243,302
WB9394L1,17,0.00342596923403393,NA,0.220097004409398,NA,0.400232080628618,0.92286716837686,302
WB9394L1,18,0,NA,0,NA,0,1.09629953586551,302
WB9394L1,19,0,NA,0,NA,0,0.952802681501294,302
WB9394L1,20,0,NA,0.0200000000000001,NA,0.138267137062565,0.8310214544011,302
WB9394L1,21,0,NA,NA,NA,0.27813122630692,0.89322858708505,302
WB9394L1,22,0,NA,NA,NA,0.126422389587536,1.08377619713651,302
WB9394L1,23,0,NA,NA,NA,0.060320483670271,1.16566471430873,302
WB9394L1,24,0,NA,NA,NA,0.0806717625391383,1.18120106246874,302
WB9394L1,25,0.000278038414313321,NA,NA,NA,0.123722485779842,1.1700546545589,302
WB9394L1,26,0.0017069276012805,NA,NA,NA,0.149575751254634,1.17199753286757,302
WB9394L1,27,0.0026565367192595,NA,NA,NA,0.154671484847361,1.19710284226663,302
WB9394L1,28,0.00287529740232359,NA,NA,NA,0.144466574025889,1.23081933343467,302
WB9394L1,29,0.002111641284546,NA,NA,NA,0.123948234600786,1.28393527155,302
WB9394L1,30,0.000114000000000002,NA,NA,NA,0.108818982431244,1.3306951566409,302
WB9394L1,31,NA,NA,NA,NA,0.100099651342008,1.37841461436953,302
WB9394L1,32,NA,NA,NA,NA,0.0971741424142228,1.44254181725067,302
WB9394L1,33,NA,NA,NA,NA,0.0989435225568284,1.50113857754714,302
WB9394L1,34,NA,NA,NA,NA,0.102349036586242,1.56951995242746,302
WB9394L1,35,NA,NA,NA,NA,0.106070321573613,1.67339715205549,302
WB9394L1,36,NA,NA,NA,NA,0.106349726861819,1.77493198999529,302
WB9394L1,37,NA,NA,NA,NA,0.100272348049727,1.9298897417373,302
WB9394L1,38,NA,NA,NA,NA,0.088,2.08,302
WB9394L1,39,NA,NA,NA,NA,NA,NA,302
WB9394L1,40,NA,NA,NA,NA,NA,NA,302
WB9394L1,41,NA,NA,NA,NA,NA,NA,302
WB9394L1,42,NA,NA,NA,NA,NA,NA,302
WB9394L1,43,NA,NA,NA,NA,NA,NA,302
WB9394L1,44,NA,NA,NA,NA,NA,NA,302
WB9394L1,45,NA,NA,NA,NA,NA,NA,302
WB9394L1,46,NA,NA,NA,NA,NA,NA,302
WB9394L1,47,NA,NA,NA,NA,NA,NA,302
WB9394L1,48,NA,NA,NA,NA,NA,NA,302
WB9394L1,49,NA,NA,NA,NA,NA,NA,302
WB9394L1,50,NA,NA,NA,NA,NA,NA,302
WB9394L1,51,NA,NA,NA,NA,NA,NA,302
WB9394L1,52,NA,NA,NA,NA,NA,NA,302
WB9394L1,53,NA,NA,NA,NA,NA,NA,302
WB9394L1,54,NA,NA,NA,NA,NA,NA,302
WB9394L1,55,NA,NA,NA,NA,NA,NA,302
WB9394L1,56,NA,NA,NA,NA,NA,NA,302
WB9394L1,57,NA,NA,NA,NA,NA,NA,302
WB9394L1,58,NA,NA,NA,NA,NA,NA,302
WB9394L1,59,NA,NA,NA,NA,NA,NA,302
WB9394L1,60,NA,NA,NA,NA,NA,NA,302
WB9394L1,61,NA,NA,NA,NA,NA,NA,302
WB9394L1,62,NA,NA,NA,NA,NA,NA,302
WB9394L1,63,NA,NA,NA,NA,NA,NA,302
WB9394L1,64,NA,NA,NA,NA,NA,NA,302
WB9394L1,65,NA,NA,NA,NA,NA,NA,302
WB9394L1,66,NA,NA,NA,NA,NA,NA,302
WB9394L1,67,NA,NA,NA,NA,NA,NA,302
WB9394L1,68,NA,NA,NA,NA,NA,NA,302
WB9394L1,69,NA,NA,NA,NA,NA,NA,302
WB9394L1,70,NA,NA,NA,NA,NA,NA,302
HOA9394L1,4,5.33e-05,NA,NA,NA,1.719,NA,310
HOA9394L1,5,0.000580609327081248,NA,NA,NA,1.52588922236548,NA,310
HOA9394L1,6,3.68238315501477e-05,NA,NA,NA,1.40147120099841,NA,310
HOA9394L1,7,0,NA,NA,NA,1.30274834506098,NA,310
HOA9394L1,8,0.000233695067099583,NA,NA,NA,1.22921862882952,NA,310
HOA9394L1,9,0.00258765581257695,NA,NA,NA,1.16958752239763,NA,310
HOA9394L1,10,0.00517395915648078,NA,NA,NA,1.25770991164541,NA,310
HOA9394L1,11,0.00624249603315059,NA,NA,NA,1.64220249150754,NA,310
HOA9394L1,12,0.00652623830075616,NA,NA,NA,2.62560759431871,NA,310
HOA9394L1,13,0.00587017711066029,NA,NA,NA,3.69079477514808,NA,310
HOA9394L1,14,0.00465230871471335,NA,NA,NA,3.90670757919136,NA,310
HOA9394L1,15,0.00359442906508776,NA,NA,NA,2.60319358006573,NA,310
HOA9394L1,16,0.00229022850540566,NA,NA,NA,1.15558489862555,NA,310
HOA9394L1,17,0.0013796168873971,NA,NA,NA,0.98668461489792,NA,310
HOA9394L1,18,0.000856050210366393,NA,NA,NA,1.50902765772689,NA,310
HOA9394L1,19,0.000661601516312859,NA,NA,NA,1.43139351564352,NA,310
HOA9394L1,20,0.000592272678859197,NA,NA,NA,1.1174431548411,NA,310
HOA9394L1,21,0.000655024326292525,NA,NA,NA,0.985065300026108,NA,310
HOA9394L1,22,0.000757140825979153,NA,NA,NA,1.0210896085131,NA,310
HOA9394L1,23,0.000803787137279151,NA,NA,NA,1.11193573357181,NA,310
HOA9394L1,24,0.000751695137384246,NA,NA,NA,1.08175994719819,NA,310
HOA9394L1,25,0.000484,NA,NA,NA,0.823,NA,310
HOA9394L1,26,NA,NA,NA,NA,NA,NA,310
HOA9394L1,27,NA,NA,NA,NA,NA,NA,310
HOA9394L1,28,NA,NA,NA,NA,NA,NA,310
HOA9394L1,29,NA,NA,NA,NA,NA,NA,310
HOA9394L1,30,NA,NA,NA,NA,NA,NA,310
HOA9394L1,31,NA,NA,NA,NA,NA,NA,310
HOA9394L1,32,NA,NA,NA,NA,NA,NA,310
HOA9394L1,33,NA,NA,NA,NA,NA,NA,310
HOA9394L1,34,NA,NA,NA,NA,NA,NA,310
HOA9394L1,35,NA,NA,NA,NA,NA,NA,310
HOA9394L1,36,NA,NA,NA,NA,NA,NA,310
HOA9394L1,37,NA,NA,NA,NA,NA,NA,310
HOA9394L1,38,NA,NA,NA,NA,NA,NA,310
HOA9394L1,39,NA,NA,NA,NA,NA,NA,310
HOA9394L1,40,NA,NA,NA,NA,NA,NA,310
HOA9394L1,41,NA,NA,NA,NA,NA,NA,310
HOA9394L1,42,NA,NA,NA,NA,NA,NA,310
HOA9394L1,43,NA,NA,NA,NA,NA,NA,310
HOA9394L1,44,NA,NA,NA,NA,NA,NA,310
HOA9394L1,45,NA,NA,NA,NA,NA,NA,310
HOA9394L1,46,NA,NA,NA,NA,NA,NA,310
HOA9394L1,47,NA,NA,NA,NA,NA,NA,310
HOA9394L1,48,NA,NA,NA,NA,NA,NA,310
HOA9394L1,49,NA,NA,NA,NA,NA,NA,310
HOA9394L1,50,NA,NA,NA,NA,NA,NA,310
HOA9394L1,51,NA,NA,NA,NA,NA,NA,310
HOA9394L1,52,NA,NA,NA,NA,NA,NA,310
HOA9394L1,53,NA,NA,NA,NA,NA,NA,310
HOA9394L1,54,NA,NA,NA,NA,NA,NA,310
HOA9394L1,55,NA,NA,NA,NA,NA,NA,310
HOA9394L1,56,NA,NA,NA,NA,NA,NA,310
HOA9394L1,57,NA,NA,NA,NA,NA,NA,310
HOA9394L1,58,NA,NA,NA,NA,NA,NA,310
HOA9394L1,59,NA,NA,NA,NA,NA,NA,310
HOA9394L1,60,NA,NA,NA,NA,NA,NA,310
HOA9394L1,61,NA,NA,NA,NA,NA,NA,310
HOA9394L1,62,NA,NA,NA,NA,NA,NA,310
HOA9394L1,63,NA,NA,NA,NA,NA,NA,310
HOA9394L1,64,NA,NA,NA,NA,NA,NA,310
HOA9394L1,65,NA,NA,NA,NA,NA,NA,310
HOA9394L1,66,NA,NA,NA,NA,NA,NA,310
HOA9394L1,67,NA,NA,NA,NA,NA,NA,310
HOA9394L1,68,NA,NA,NA,NA,NA,NA,310
HOA9394L1,69,NA,NA,NA,NA,NA,NA,310
HOA9394L1,70,NA,NA,NA,NA,NA,NA,310
EB9394L2,4,0.01,NA,1.23,NA,1.835,NA,314
EB9394L2,5,0.00478425607746534,NA,1.82950160868843,NA,1.52325793108797,NA,314
EB9394L2,6,0.00187249452026352,NA,1.97,NA,1.30145770031587,NA,314
EB9394L2,7,0.000794106968455012,NA,1.83410543781196,NA,1.12219478518741,NA,314
EB9394L2,8,0.00107848506210028,NA,1.66,NA,0.938064663206298,NA,314
EB9394L2,9,0.00225502044125979,NA,1.67015477680303,NA,0.714875684660092,NA,314
EB9394L2,10,0.00385310474599399,NA,1.69,NA,0.436570055592956,NA,314
EB9394L2,11,0.00540212961636337,NA,1.53155644671144,NA,0.308508093641931,NA,314
EB9394L2,12,0.00643148669242837,NA,1.18,NA,0.42205830263555,NA,314
EB9394L2,13,0.00647056761424946,NA,0.873997586494585,NA,0.703770432947121,NA,314
EB9394L2,14,0.00526030055492417,NA,0.711335042490094,NA,0.601938115171486,NA,314
EB9394L2,15,0.00374092342581171,NA,0.757765872866234,NA,0.367901514822096,NA,314
EB9394L2,16,0.00306070895409856,NA,0.954137945356825,NA,0.347835973638595,NA,314
EB9394L2,17,0.00305451373359329,NA,1.08913278028211,NA,0.458952060375416,NA,314
EB9394L2,18,0.00294900124443562,NA,1,NA,0.513558937424008,NA,314
EB9394L2,19,0.00225428298431081,NA,0.612153775586704,NA,0.377796033969122,NA,314
EB9394L2,20,0.00146350854592799,NA,0.03,NA,0.17477133549665,NA,314
EB9394L2,21,0.00100223003767065,NA,0,NA,0.0725516148712472,NA,314
EB9394L2,22,0.000855981166517406,NA,0,NA,0.0727272827704456,NA,314
EB9394L2,23,0.000935686456359609,NA,NA,NA,0.111629064508354,NA,314
EB9394L2,24,0.0011522704310886,NA,NA,NA,0.170802794440826,NA,314
EB9394L2,25,0.00141665761459571,NA,NA,NA,0.247069686879285,NA,314
EB9394L2,26,0.00163977253077228,NA,NA,NA,0.335573717522383,NA,314
EB9394L2,27,0.00173253970350965,NA,NA,NA,0.425449525775769,NA,314
EB9394L2,28,0.00160588365669917,NA,NA,NA,0.504486420906907,NA,314
EB9394L2,29,0.00117072891423218,NA,NA,NA,0.560473712183264,NA,314
EB9394L2,30,0.000338,NA,NA,NA,0.581200708872304,NA,314
EB9394L2,31,NA,NA,NA,NA,0.557836283776,NA,314
EB9394L2,32,NA,NA,NA,NA,0.498415608725714,NA,314
EB9394L2,33,NA,NA,NA,NA,0.393676642283817,NA,314
EB9394L2,34,NA,NA,NA,NA,0.301709654769235,NA,314
EB9394L2,35,NA,NA,NA,NA,0.216870551148964,NA,314
EB9394L2,36,NA,NA,NA,NA,0.152447277057603,NA,314
EB9394L2,37,NA,NA,NA,NA,0.121727778129749,NA,314
EB9394L2,38,NA,NA,NA,NA,0.138,NA,314
EB9394L2,39,NA,NA,NA,NA,NA,NA,314
EB9394L2,40,NA,NA,NA,NA,NA,NA,314
EB9394L2,41,NA,NA,NA,NA,NA,NA,314
EB9394L2,42,NA,NA,NA,NA,NA,NA,314
EB9394L2,43,NA,NA,NA,NA,NA,NA,314
EB9394L2,44,NA,NA,NA,NA,NA,NA,314
EB9394L2,45,NA,NA,NA,NA,NA,NA,314
EB9394L2,46,NA,NA,NA,NA,NA,NA,314
EB9394L2,47,NA,NA,NA,NA,NA,NA,314
EB9394L2,48,NA,NA,NA,NA,NA,NA,314
EB9394L2,49,NA,NA,NA,NA,NA,NA,314
EB9394L2,50,NA,NA,NA,NA,NA,NA,314
EB9394L2,51,NA,NA,NA,NA,NA,NA,314
EB9394L2,52,NA,NA,NA,NA,NA,NA,314
EB9394L2,53,NA,NA,NA,NA,NA,NA,314
EB9394L2,54,NA,NA,NA,NA,NA,NA,314
EB9394L2,55,NA,NA,NA,NA,NA,NA,314
EB9394L2,56,NA,NA,NA,NA,NA,NA,314
EB9394L2,57,NA,NA,NA,NA,NA,NA,314
EB9394L2,58,NA,NA,NA,NA,NA,NA,314
EB9394L2,59,NA,NA,NA,NA,NA,NA,314
EB9394L2,60,NA,NA,NA,NA,NA,NA,314
EB9394L2,61,NA,NA,NA,NA,NA,NA,314
EB9394L2,62,NA,NA,NA,NA,NA,NA,314
EB9394L2,63,NA,NA,NA,NA,NA,NA,314
EB9394L2,64,NA,NA,NA,NA,NA,NA,314
EB9394L2,65,NA,NA,NA,NA,NA,NA,314
EB9394L2,66,NA,NA,NA,NA,NA,NA,314
EB9394L2,67,NA,NA,NA,NA,NA,NA,314
EB9394L2,68,NA,NA,NA,NA,NA,NA,314
EB9394L2,69,NA,NA,NA,NA,NA,NA,314
EB9394L2,70,NA,NA,NA,NA,NA,NA,314
WB9394L2,4,0.00866,NA,1.47,NA,2.776,NA,316
WB9394L2,5,0.00223544645970837,NA,1.31980269966231,NA,2.58359140959336,NA,316
WB9394L2,6,0,NA,1.18670414251109,NA,2.10900561355958,NA,316
WB9394L2,7,0,NA,1.11421151599292,NA,1.50200241673205,NA,316
WB9394L2,8,0,NA,1.17546901298527,NA,1.29290796281625,NA,316
WB9394L2,9,0.000571973335807198,NA,1.29955491618763,NA,1.46859747162637,NA,316
WB9394L2,10,0.00330742695192465,NA,1.08163168664172,NA,1.26248252822049,NA,316
WB9394L2,11,0.00616046398198977,NA,0.4662481984006,NA,0.436911687968087,NA,316
WB9394L2,12,0.00855961175355782,NA,1.21555760741194,NA,1.91929082022521,NA,316
WB9394L2,13,0.0099333975941841,NA,4.35730048610616,NA,6.5894241888792,NA,316
WB9394L2,14,0.00953248209006059,NA,3.36943903464521,NA,5.22122061922455,NA,316
WB9394L2,15,0.00650541209917705,NA,0.781695366464056,NA,1.58056803845507,NA,316
WB9394L2,16,0.00422590044361982,NA,0,NA,0.33485673151491,NA,316
WB9394L2,17,0.00332609332115092,NA,0.00647847178638394,NA,0.218048198878946,NA,316
WB9394L2,18,0.00259809284374731,NA,0.944018945944148,NA,0.261270404520579,NA,316
WB9394L2,19,0.00210556615511374,NA,1.20151250825586,NA,0.24083891563473,NA,316
WB9394L2,20,0.00165962063445278,NA,2.77555756156289e-16,NA,0.188699677296803,NA,316
WB9394L2,21,0.00126144114691742,NA,NA,NA,0.110683223979398,NA,316
WB9394L2,22,0.000912212557660701,NA,NA,NA,0.0613969127332706,NA,316
WB9394L2,23,0.000613119731835633,NA,NA,NA,0.0390588826193263,NA,316
WB9394L2,24,0.000365347534595237,NA,NA,NA,0.0443934703721072,NA,316
WB9394L2,25,0.000170080831092529,NA,NA,NA,0.0605318296202388,NA,316
WB9394L2,26,2.85044864805303e-05,NA,NA,NA,0.0690169677347779,NA,316
WB9394L2,27,0,NA,NA,NA,0.0723575138543509,NA,316
WB9394L2,28,0,NA,NA,NA,0.0707842778644306,NA,316
WB9394L2,29,0,NA,NA,NA,0.065620102987964,NA,316
WB9394L2,30,2.27999999999999e-05,NA,NA,NA,0.0604976875088397,NA,316
WB9394L2,31,NA,NA,NA,NA,0.0546311563251673,NA,316
WB9394L2,32,NA,NA,NA,NA,0.0506234798599447,NA,316
WB9394L2,33,NA,NA,NA,NA,0.0464263932561103,NA,316
WB9394L2,34,NA,NA,NA,NA,0.0436855732389269,NA,316
WB9394L2,35,NA,NA,NA,NA,0.0409859741432838,NA,316
WB9394L2,36,NA,NA,NA,NA,0.0393742776911672,NA,316
WB9394L2,37,NA,NA,NA,NA,0.038,NA,316
WB9394L2,38,NA,NA,NA,NA,NA,NA,316
WB9394L2,39,NA,NA,NA,NA,NA,NA,316
WB9394L2,40,NA,NA,NA,NA,NA,NA,316
WB9394L2,41,NA,NA,NA,NA,NA,NA,316
WB9394L2,42,NA,NA,NA,NA,NA,NA,316
WB9394L2,43,NA,NA,NA,NA,NA,NA,316
WB9394L2,44,NA,NA,NA,NA,NA,NA,316
WB9394L2,45,NA,NA,NA,NA,NA,NA,316
WB9394L2,46,NA,NA,NA,NA,NA,NA,316
WB9394L2,47,NA,NA,NA,NA,NA,NA,316
WB9394L2,48,NA,NA,NA,NA,NA,NA,316
WB9394L2,49,NA,NA,NA,NA,NA,NA,316
WB9394L2,50,NA,NA,NA,NA,NA,NA,316
WB9394L2,51,NA,NA,NA,NA,NA,NA,316
WB9394L2,52,NA,NA,NA,NA,NA,NA,316
WB9394L2,53,NA,NA,NA,NA,NA,NA,316
WB9394L2,54,NA,NA,NA,NA,NA,NA,316
WB9394L2,55,NA,NA,NA,NA,NA,NA,316
WB9394L2,56,NA,NA,NA,NA,NA,NA,316
WB9394L2,57,NA,NA,NA,NA,NA,NA,316
WB9394L2,58,NA,NA,NA,NA,NA,NA,316
WB9394L2,59,NA,NA,NA,NA,NA,NA,316
WB9394L2,60,NA,NA,NA,NA,NA,NA,316
WB9394L2,61,NA,NA,NA,NA,NA,NA,316
WB9394L2,62,NA,NA,NA,NA,NA,NA,316
WB9394L2,63,NA,NA,NA,NA,NA,NA,316
WB9394L2,64,NA,NA,NA,NA,NA,NA,316
WB9394L2,65,NA,NA,NA,NA,NA,NA,316
WB9394L2,66,NA,NA,NA,NA,NA,NA,316
WB9394L2,67,NA,NA,NA,NA,NA,NA,316
WB9394L2,68,NA,NA,NA,NA,NA,NA,316
WB9394L2,69,NA,NA,NA,NA,NA,NA,316
WB9394L2,70,NA,NA,NA,NA,NA,NA,316
FRX9394L1,4,0.000339,NA,0.41,NA,2.572,0.4,320
FRX9394L1,5,0.00231103956140707,NA,1.33842267537446,NA,5.73531345051259,0.48659770661781,320
FRX9394L1,6,0.002772877422966,NA,1.0917753536029,NA,4.37899471722399,0.448582916791253,320
FRX9394L1,7,0.00906113906353169,NA,1.19852065641721,NA,3.68233088717149,0.4212077143206,320
FRX9394L1,8,0.028512449961959,NA,4.46058260992952,NA,8.28086693954912,0.508734943503867,320
FRX9394L1,9,0.099780978977633,NA,12.9187608431671,NA,16.3457375660354,0.73584861223537,320
FRX9394L1,10,0.251699507024741,NA,3.88612033929187,NA,6.15135212243749,0.817469972028704,320
FRX9394L1,11,0,NA,0.701185232738435,NA,2.17927472242336,1.17286689885118,320
FRX9394L1,12,0,NA,0.0299999999999998,NA,1.59222471648364,1.25098802899527,320
FRX9394L1,13,0,NA,NA,NA,1.2256051265825,1.34548186840554,320
FRX9394L1,14,0,NA,NA,NA,0.85022345787123,1.48879212585904,320
FRX9394L1,15,0.00548013535100973,NA,NA,NA,0.484607240228687,1.66322968101946,320
FRX9394L1,16,0.0594302283374403,NA,NA,NA,0.32543244667768,1.77497205779634,320
FRX9394L1,17,0.000233000000000003,NA,NA,NA,0.453,1.75,320
FRX9394L1,18,NA,NA,NA,NA,NA,NA,320
FRX9394L1,19,NA,NA,NA,NA,NA,NA,320
FRX9394L1,20,NA,NA,NA,NA,NA,NA,320
FRX9394L1,21,NA,NA,NA,NA,NA,NA,320
FRX9394L1,22,NA,NA,NA,NA,NA,NA,320
FRX9394L1,23,NA,NA,NA,NA,NA,NA,320
FRX9394L1,24,NA,NA,NA,NA,NA,NA,320
FRX9394L1,25,NA,NA,NA,NA,NA,NA,320
FRX9394L1,26,NA,NA,NA,NA,NA,NA,320
FRX9394L1,27,NA,NA,NA,NA,NA,NA,320
FRX9394L1,28,NA,NA,NA,NA,NA,NA,320
FRX9394L1,29,NA,NA,NA,NA,NA,NA,320
FRX9394L1,30,NA,NA,NA,NA,NA,NA,320
FRX9394L1,31,NA,NA,NA,NA,NA,NA,320
FRX9394L1,32,NA,NA,NA,NA,NA,NA,320
FRX9394L1,33,NA,NA,NA,NA,NA,NA,320
FRX9394L1,34,NA,NA,NA,NA,NA,NA,320
FRX9394L1,35,NA,NA,NA,NA,NA,NA,320
FRX9394L1,36,NA,NA,NA,NA,NA,NA,320
FRX9394L1,37,NA,NA,NA,NA,NA,NA,320
FRX9394L1,38,NA,NA,NA,NA,NA,NA,320
FRX9394L1,39,NA,NA,NA,NA,NA,NA,320
FRX9394L1,40,NA,NA,NA,NA,NA,NA,320
FRX9394L1,41,NA,NA,NA,NA,NA,NA,320
FRX9394L1,42,NA,NA,NA,NA,NA,NA,320
FRX9394L1,43,NA,NA,NA,NA,NA,NA,320
FRX9394L1,44,NA,NA,NA,NA,NA,NA,320
FRX9394L1,45,NA,NA,NA,NA,NA,NA,320
FRX9394L1,46,NA,NA,NA,NA,NA,NA,320
FRX9394L1,47,NA,NA,NA,NA,NA,NA,320
FRX9394L1,48,NA,NA,NA,NA,NA,NA,320
FRX9394L1,49,NA,NA,NA,NA,NA,NA,320
FRX9394L1,50,NA,NA,NA,NA,NA,NA,320
FRX9394L1,51,NA,NA,NA,NA,NA,NA,320
FRX9394L1,52,NA,NA,NA,NA,NA,NA,320
FRX9394L1,53,NA,NA,NA,NA,NA,NA,320
