DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DOY	DATE_TIME	DEPTH (m)	TDR (nM TDR/day)	FILE NAME	DEPTH MASL	TDR CENT (nM TDR/day)	LEU CENT (nM Leu/day)
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	5		LIMNO_BACT_PROD_1213.csv		0.0174	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	7		LIMNO_BACT_PROD_1213.csv		0.0173	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	19		LIMNO_BACT_PROD_1213.csv		0.4416	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	18		LIMNO_BACT_PROD_1213.csv		0.1906	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	17		LIMNO_BACT_PROD_1213.csv		0.055	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	16		LIMNO_BACT_PROD_1213.csv		0.0058	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	15		LIMNO_BACT_PROD_1213.csv		0.0023	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	13		LIMNO_BACT_PROD_1213.csv		0.0033	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	11		LIMNO_BACT_PROD_1213.csv		0.0023	
LIMNO_BACT_PROD	MIE1213L2	Lake Miers	MIELT1	20		12/12/2012	9		LIMNO_BACT_PROD_1213.csv		0.0045	
LIMNO_BACT_PROD	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	25		LIMNO_BACT_PROD_1213.csv		0	
LIMNO_BACT_PROD	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	20		LIMNO_BACT_PROD_1213.csv		0.0031	
LIMNO_BACT_PROD	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	18		LIMNO_BACT_PROD_1213.csv		0.0041	
LIMNO_BACT_PROD	EB1213L2	East Lake Bonney	BONE30	20		12/15/2012	15		LIMNO_BACT_PROD_1213.csv		0.0144	
